Country Name,Country Code,Indicator Name,Indicator Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Latitude,Longitude
République tchèque,CZE,Consommation d’énergies renouvelables (% de la consommation totale d’énergie),EG.FEC.RNEW.ZS,3.57,3.98,5.9,5.82,5.91,5.3,5.24,5.65,5.97,6.48,5.94,6.29,7.28,6.72,7.13,7.53,7.88,8.32,8.99,10.25,10.95,12.16,12.8,13.95,14.85,14.84,14.77,14.46,14.72,15.88,16.97,49.817492,15.472962
Allemagne,DEU,Consommation d’énergies renouvelables (% de la consommation totale d’énergie),EG.FEC.RNEW.ZS,2.1,1.99,2.06,2.11,2.27,2.32,2.25,2.82,3.05,3.26,3.7,3.9,4.41,5.44,6.34,7.28,8.59,10.47,10.25,10.72,11.61,12.54,13.64,13.63,14.02,14.55,14.24,15.22,16.04,17.07,18.6,51.165691,10.451526
Djibouti,DJI,Consommation d’énergies renouvelables (% de la consommation totale d’énergie),EG.FEC.RNEW.ZS,29.65,30.14,30.26,31.17,32.41,32.22,33.97,32.04,29.6,29.58,31.44,31.68,32.44,32.88,33.62,33.09,33.01,32.52,33.14,34.38,32.54,34.62,34.09,34.42,30.91,28.24,25.06,24.35,26.28,26.99,31.91,11.825138,42.590275
Dominique,DMA,Consommation d’énergies renouvelables (% de la consommation totale d’énergie),EG.FEC.RNEW.ZS,14.6,14.51,14.49,13.41,13.11,15.65,20.85,15.52,15.01,14.08,11.06,9.41,13.6,10.56,11.4,10.02,9.82,7.75,7.96,7.48,10.28,13.8,11.33,11.41,9.86,8.68,10.74,9.67,8.17,7.91,8.31,15.414999,-61.370976
Danemark,DNK,Consommation d’énergies renouvelables (% de la consommation totale d’énergie),EG.FEC.RNEW.ZS,7.05,7.07,7.75,7.7,7.33,7.51,7.26,8.1,8.51,9.06,10.73,11.12,11.86,12.72,14.44,16.12,15.26,17.69,18.54,19.33,21.2,23.83,26.93,27.05,30.19,32.53,31.95,35.02,34.56,37.29,39.7,56.26392,9.501785
République dominicaine,DOM,Consommation d’énergies renouvelables (% de la consommation totale d’énergie),EG.FEC.RNEW.ZS,28.02,28.17,25.36,26.85,24.44,22.34,20.31,18.25,20.43,19.9,19.11,18.89,17.94,18.94,20.67,19.44,17.98,17.89,17.68,17.34,16.91,16.75,16.48,16.55,17.28,14.88,15.31,16.87,15.95,14.89,16.69,18.735693,-70.162651
Algérie,DZA,Consommation d’énergies renouvelables (% de la consommation totale d’énergie),EG.FEC.RNEW.ZS,0.18,0.32,0.29,0.48,0.4,0.42,0.39,0.47,0.54,0.51,0.43,0.43,0.51,0.47,0.44,0.58,0.41,0.41,0.3,0.31,0.26,0.18,0.18,0.13,0.07,0.06,0.08,0.14,0.19,0.16,0.15,28.033886,1.659626
Équateur,ECU,Consommation d’énergies renouvelables (% de la consommation totale d’énergie),EG.FEC.RNEW.ZS,24.2,24.17,20.8,21.62,20.85,20.36,19.29,16.54,18.19,19.58,19.43,17.05,17.1,16.55,16.73,16.16,14.19,15.88,15.32,12.87,11.79,13.15,13.2,11.85,12.18,13.07,14.75,17.05,16.33,17.73,20.1,-1.831239,-78.183406
Égypte,EGY,Consommation d’énergies renouvelables (% de la consommation totale d’énergie),,8.96,9.35,9.07,9.17,9.99,9.41,9.03,8.64,8.5,8.78,8.26,7.82,7.35,7.45,7.57,6.48,6.22,6.05,5.88,5.65,5.37,5.43,5.29,5.28,5.38,5.28,5.07,4.93,5.03,6.23,6.23,26.820553,30.802498
Érythrée,ERI,Consommation d’énergies renouvelables (% de la consommation totale d’énergie),EG.FEC.RNEW.ZS,,,89.87,83.64,80.1,77.89,76.38,77.6,75.01,76.13,76.79,74.85,74.69,75.05,69.79,74.69,77.29,79.1,81.36,81.65,80.9,77.07,78.42,79.65,80.48,81.19,81.4,81.64,80.8,80.55,80.9,15.179384,39.782334
